factor,weight
max_effect,0.14664294782487464
str_factor,0.14960339140032602
idiosyncratic_vol,0.13982458464175135
amplitude_20d,0.10619308058875242
momentum_12m_1m,0.0464531526036789
turnover_20d,0.06710226045394196
macd_divergence,0.05948819296882384
amihud_illiquidity,0.03369726135017198
ma_deviation,0.014478946673217329
volatility_skew,0.010508436748801774
